azon;terazon;ev;lakas
1000;100;2003;518760
1001;101;2003;136177
1002;102;2003;78141
1003;103;2003;78929
1004;104;2003;87339
1005;105;2003;103431
1006;106;2003;52348
1007;107;2003;76344
1008;108;2003;88528
1009;109;2003;60324
1010;110;2003;46604
1011;111;2003;156141
1012;112;2003;44279
1013;113;2003;25660
1014;114;2003;81255
1015;115;2003;42215
1016;116;2003;50170
1017;117;2003;59347
1018;118;2003;55332
1019;119;2003;79192
1020;100;2004;503617
1021;101;2004;161915
1022;102;2004;84605
1023;103;2004;79844
1024;104;2004;89978
1025;105;2004;99542
1026;106;2004;41352
1027;107;2004;77208
1028;108;2004;92066
1029;109;2004;57071
1030;110;2004;56553
1031;111;2004;155952
1032;112;2004;47433
1033;113;2004;27147
1034;114;2004;83999
1035;115;2004;45051
1036;116;2004;49635
1037;117;2004;78875
1038;118;2004;58009
1039;119;2004;78173
1040;100;2005;526230
1041;101;2005;180456
1042;102;2005;85483
1043;103;2005;79133
1044;104;2005;89026
1045;105;2005;107681
1046;106;2005;42729
1047;107;2005;78857
1048;108;2005;88030
1049;109;2005;58119
1050;110;2005;55604
1051;111;2005;138772
1052;112;2005;49464
1053;113;2005;30288
1054;114;2005;89401
1055;115;2005;43319
1056;116;2005;50089
1057;117;2005;90041
1058;118;2005;61414
1059;119;2005;86430
1060;100;2006;534624
1061;101;2006;205935
1062;102;2006;90859
1063;103;2006;83123
1064;104;2006;85385
1065;105;2006;110889
1066;106;2006;49786
1067;107;2006;78409
1068;108;2006;87804
1069;109;2006;58553
1070;110;2006;60800
1071;111;2006;157054
1072;112;2006;49774
1073;113;2006;34374
1074;114;2006;91405
1075;115;2006;48584
1076;116;2006;53133
1077;117;2006;86642
1078;118;2006;68062
1079;119;2006;88074
1080;100;2007;541400
1081;101;2007;218163
1082;102;2007;88181
1083;103;2007;80921
1084;104;2007;87925
1085;105;2007;111198
1086;106;2007;51552
1087;107;2007;76226
1088;108;2007;82621
1089;109;2007;58833
1090;110;2007;61894
1091;111;2007;146085
1092;112;2007;48724
1093;113;2007;36175
1094;114;2007;90728
1095;115;2007;50770
1096;116;2007;56592
1097;117;2007;87085
1098;118;2007;70194
1099;119;2007;92306
1100;100;2008;546265
1101;101;2008;228448
1102;102;2008;90843
1103;103;2008;88011
1104;104;2008;92412
1105;105;2008;111981
1106;106;2008;58904
1107;107;2008;73462
1108;108;2008;82280
1109;109;2008;60730
1110;110;2008;61462
1111;111;2008;150844
1112;112;2008;54156
1113;113;2008;38942
1114;114;2008;92332
1115;115;2008;57874
1116;116;2008;65179
1117;117;2008;91235
